Name,Market Cap (GBP$ Billion)
JPMorgan Chase,327.073
Industrial and Commercial Bank of China,262.214
Bank of America,248.094
Wells Fargo,190.099
China Construction Bank,184.459
Agricultural Bank of China,160.965
HSBC Holdings PLC,150.304
Citigroup Inc.,145.08
Bank of China,134.056
China Merchants Bank,118.287
Royal Bank of Canada,100.93
Toronto-Dominion Bank,94.553
Commonwealth Bank,88.487
Itaú Unibanco,75.99
U.S. Bancorp,74.855
Goldman Sachs,69.8
Banco Santander,66.935
Morgan Stanley,65.569
Westpac,60.168
Mitsubishi UFJ Financial Group,58.713
Scotiabank,58.075
PNC Financial Services,55.973
Bank of Communications,54.855
BNP Paribas,52.647
Australia and New Zealand Banking Group,48.673
National Australia Bank,45.835
Lloyds Banking Group,45.401
Sumitomo Mitsui Financial Group,44.212
Bank of Montreal,42.678
UBS,40.727
ING Group,39.884
Capital One,38.332
The Bank of New York Mellon,37.764
China Minsheng Bank,34.705
China CITIC Bank,34.19
Banco Bilbao Vizcaya Argentaria,33.188
Mizuho Financial Group,32.771
Intesa Sanpaolo,32.727
Crédit Agricole,30.944
Canadian Imperial Bank of Commerce,30.926
NatWest Group,30.11
Barclays,29.498
Credit Suisse,27.272
Nordea,26.244
Standard Chartered,26.048
KBC Bank,24.301
UniCredit,23.84
Société Générale,18.864
Deutsche Bank,13.987
